x,y,z,d,std,arr_time,heap_time
1,1,1,100.0,0.0,0.09688238054513931,0.001382581889629364
1,1,10,217.7,103.10387965542324,1.09159916639328,0.01445179432630539
1,1,100,196.37,113.29577706163633,10.724478296935558,0.13761991262435913
1,1,1000,193.097,108.10647340006982,104.5048820823431,1.4083896055817604
1,1,10,194.5,124.45661894812987,-1,0.013303153216838837
1,1,100,218.31,138.27542767968575,-1,0.13559912890195847
1,1,1000,226.745,130.279691337522,-1,1.3929087594151497
1,2,10,261.2,130.10365098643464,-1,0.012549802660942078
1,2,100,231.26,128.10149257522335,-1,0.12647733837366104
1,2,1000,239.546,135.9746001428208,-1,1.313662238419056
1,3,10,185.9,89.16776323313263,-1,0.014167927205562592
1,3,100,224.99,116.41447461548756,-1,0.13619647920131683
1,3,1000,191.728,112.46193140792131,-1,1.3932368159294128
1,4,10,276.0,121.0958298208489,-1,0.013542219996452332
1,4,100,257.29,135.77424608518362,-1,0.1331016644835472
1,4,1000,248.542,139.85440370614006,-1,1.3580999672412872
1,5,10,187.2,120.34932488385633,-1,0.014244191348552704
1,5,100,182.41,111.31110411814267,-1,0.13603808730840683
1,5,1000,205.878,117.63253425817196,-1,1.4137096032500267
1,6,10,162.3,115.87929064332418,-1,0.01403239369392395
1,6,100,211.97,125.27038397003498,-1,0.15163228660821915
1,6,1000,220.673,123.50323911136906,-1,1.405309684574604
1,7,10,244.8,115.80310876656117,-1,0.014126941561698914
1,7,100,192.44,118.74622688742576,-1,0.13932869583368301
1,7,1000,214.528,123.65239672565995,-1,1.386280857026577
1,8,10,222.7,133.25318007462337,-1,0.014125384390354156
1,8,100,181.39,114.36309675765168,-1,0.14013978838920593
1,8,1000,191.327,111.58409416668667,-1,1.3945361152291298
1,9,10,183.2,97.08944329843486,-1,0.014187045395374298
1,9,100,194.94,104.25927488717731,-1,0.1417955532670021
1,9,1000,193.184,108.54574217351872,-1,1.405203104019165
1,10,10,220.2,95.2142846425892,-1,0.01418602466583252
1,10,100,230.07,123.93532627947529,-1,0.13952605426311493
1,10,1000,217.085,123.60245052182421,-1,1.3849281445145607
1,11,10,264.4,78.73779270464725,-1,0.015726402401924133
1,11,100,231.04,132.7106566934246,-1,0.13999415934085846
1,11,1000,212.984,119.19325376882703,-1,1.3890449926257133
1,12,10,243.2,116.14628706936783,-1,0.013699844479560852
1,12,100,234.11,126.53994586690797,-1,0.13732648640871048
1,12,1000,227.871,132.23480766802666,-1,1.361706182360649
1,13,10,141.2,82.5551936585458,-1,0.013062343001365662
1,13,100,229.75,130.6908087816431,-1,0.13056916743516922
1,13,1000,226.267,128.76472230778117,-1,1.3535640016198158
1,1,1,281.0,0.0,-1,0.0014355257153511047
1,1,10,203.8,123.81906153739011,-1,0.0132535919547081
1,1,100,175.24,107.95620593555519,-1,0.1359206885099411
1,1,1000,195.392,113.91966615119621,-1,1.4029879570007324
1,1,10000,195.7548,112.89986659407529,-1,14.140003822743893
1,1,100000,195.36125,112.61995253256637,-1,137.86545080691576
1,2,1,55.0,0.0,-1,0.001455649733543396
1,2,10,196.1,128.37012892413873,-1,0.013853184878826141
1,2,100,212.79,131.54089060060375,-1,0.13661307096481323
1,2,1000,212.462,123.8342705231472,-1,1.3723629117012024
1,2,10000,215.1635,123.9871798523944,-1,13.651093326508999
1,2,100000,216.73165,124.86993937004014,-1,134.91312734037638
1,3,1,107.0,0.0,-1,0.0013942494988441467
1,3,10,161.0,75.07196547313784,-1,0.0130339115858078
1,3,100,197.28,111.64471147349524,-1,0.13003338873386383
1,3,1000,184.805,109.45007526265114,-1,1.3258983120322227
1,3,10000,191.9144,109.45953623435466,-1,13.329178303480148
1,3,100000,190.88341,109.25727077303323,-1,135.80085375905037
1,4,1,357.0,0.0,-1,0.0014286339282989502
1,4,10,190.2,128.03890033892046,-1,0.013369984924793243
1,4,100,224.04,115.34764150167959,-1,0.13667823374271393
1,4,1000,199.707,111.89021025541064,-1,1.4092044159770012
1,4,10000,197.7701,113.21946496071249,-1,13.538101613521576
1,1,1,11.0,0.0,-1,0.001474618911743164
1,1,10,224.2,135.29360664865138,-1,0.014377094805240631
1,1,100,195.32,122.75144642732322,-1,0.14190305769443512
1,1,1000,214.667,124.71712837858318,-1,1.4389359503984451
1,1,10000,220.7919,126.34494843241656,-1,14.244204454123974
1,1,100000,219.5835,126.4117709224501,-1,142.1846415773034
1,2,1,28.0,0.0,-1,0.0013222843408584595
1,2,10,194.8,140.41780513880707,-1,0.012844257056713104
1,2,100,237.55,126.3622866997903,-1,0.12978673726320267
1,2,1000,242.966,138.14826399198796,-1,1.3942451104521751
1,2,10000,240.3319,139.87271121412496,-1,14.081607282161713
1,2,100000,240.66792,138.6558922039507,-1,142.03144427388906
1,3,1,189.0,0.0,-1,0.0014487653970718384
1,3,10,190.8,128.48719780585145,-1,0.013743974268436432
1,3,100,243.53,133.83351261922402,-1,0.1405433714389801
1,3,1000,228.461,134.48055056029477,-1,1.4171581119298935
1,1,1,352.0,0.0,-1,0.0013854354619979858
1,1,10,198.5,101.6407890563626,-1,0.013676397502422333
1,1,100,195.04,109.65864489405293,-1,0.13250789046287537
1,1,1000,187.844,108.34228013107348,-1,1.4078441858291626
